Location	Date	Species	Gender	Length	tag number full 	Time
A0	5/18/21	B	M	23.4	0000_0000000181624046	19:32:00
A0	5/18/21	B	M	23.8	0000_0000000181624047	19:54:00
A0	5/18/21	B	M	25.6	0000_0000000181624048	19:56:00
A0	5/19/21	A	N	27.9	0000_0000000181624049	19:12:00
A0	5/21/21	B	F	23.6	0000_0000000181624051	20:38:00
A0	5/21/21	B	M	23.4	0000_0000000181624052	20:38:00
A0	5/21/21	B	N	25.2	0000_0000000181624053	20:40:00
A0	5/21/21	B	M	23.3	0000_0000000181624054	20:40:00
A0	5/21/21	B	M	23.4	0000_0000000181624055	20:40:00
A0	5/21/21	B	F	26.9	0000_0000000181624056	20:46:00
A0	5/21/21	B	F	24.1	0000_0000000181624057	20:47:00
A0	5/21/21	B	F	24.6	0000_0000000181624058	20:47:00
A0	5/21/21	A	F	29.5	0000_0000000181623884	20:48:00
A0	5/21/21	A	F	27.5	0000_0000000181623885	20:49:00
A0	5/21/21	B	M	24.9	0000_0000000181623886	20:53:00
A0	5/21/21	B	F	26.9	0000_0000000181623887	20:53:00
A0	5/21/21	A	F	30.5	0000_0000000181623888	20:53:00
A0	5/21/21	A	F	26.1	0000_0000000181623889	20:56:00
A0	5/21/21	B	M	25.4	0000_0000000181623890	20:57:00
A0	5/21/21	B	M	21.2	0000_0000000181623891	20:57:00
A0	5/21/21	B	F	22.1	0000_0000000181623892	21:25:00
A0	5/21/21	A	F	27.3	0000_0000000181624050	21:25:00
A0	5/21/21	B	F	23.5	900_228000652000	21:25:00
A0	5/21/21	B	M	23	900_228000652001	21:25:00
A0	5/21/21	A	F	27.1	900_228000652002	21:25:00
A0	5/21/21	B	M	24.6	900_228000652003	21:33:00
A0	5/21/21	A	M	25.7	900_228000652004	21:33:00
A0	5/21/21	B	F	24.9	900_228000652005	21:33:00
A0	5/21/21	B	F	24.5	900_228000652006	21:33:00
A0	5/21/21	B	F	24	900_228000652007	22:05:00
A0	5/21/21	B	F	25	900_228000652008	22:05:00
A0	5/21/21	B	F	27.3	900_228000652009	22:15:00
