Location	Date	Species	Gender	Length	tag number full 	Time
A0	4/27/21	A	M	26.6	900_228000637946	20:05:00
A0	4/27/21	A	M	27.1	900_228000637947	20:06:00
A0	4/27/21	A	F	27.4	900_228000637948	20:24:00
A0	4/27/21	A	F	28.1	900_228000637949	20:24:00
A0	4/27/21	A	M	29	900_228000637950	20:24:00
A0	4/27/21	A	M	26.1	900_228000637951	20:26:00
A0	4/27/21	A	M	27.2	900_228000637952	20:45:00
A0	4/27/21	A	M	27.5	900_228000637953	20:58:00
A0	4/27/21	A	M	26	900_228000637954	20:59:00
A0	4/27/21	A	M	26.3	900_228000637955	21:03:00
A0	4/27/21	A	F	27.6	900_228000637956	21:10:00
A0	4/27/21	A	F	29.3	900_228000637957	21:20:00
A0	4/27/21	A	M	27.9	900_228000637958	21:30:00
A0	4/27/21	A	M	26.1	900_228000637959	21:30:00
A0	4/27/21	A	M	26	900_228000637960	21:35:00
A0	4/27/21	A	M	26.7	900_228000637961	21:40:00
A0	4/30/21	A	F	27.5	900_228000637962	20:40:00
A0	4/30/21	A	M	27.8	900_228000637963	20:42:00
A0	4/30/21	A	M	27.8	900_228000637964	20:44:00
A0	4/30/21	A	M	25.9	900_228000637965	20:44:00
A0	4/30/21	A	M	25.5	900_228000637966	20:45:00
A0	4/30/21	A	F	26.9	900_228000637967	20:47:00
A0	4/30/21	A	M	26.2	900_228000637968	20:48:00
A0	4/30/21	A	F	28.3	900_228000637969	20:53:00
A0	4/30/21	A	M	26.8	900_228000637970	20:53:00
A0	4/30/21	A	F	26.7	900_228000637971	20:54:00
A0	4/30/21	A	M	27	900_228000637972	20:56:00
A0	4/30/21	A	N	27.5	900_228000637973	20:57:00
A0	4/30/21	A	M	27	900_228000637974	20:59:00
A0	4/30/21	A	M	27.1	900_228000637975	20:59:00
A0	4/30/21	A	F	27.7	900_228000637976	21:00:00
A0	4/30/21	A	M	28.2	900_228000637977	21:00:00
A0	4/30/21	A	F	29.1	900_228000637978	21:02:00
A0	4/30/21	A	M	28.5	900_228000637979	21:03:00
A0	4/30/21	A	F	29	900_228000637999	21:07:00
A0	4/30/21	A	F	29	900_228000637998	21:08:00
A0	4/30/21	A	N	26.6	900_228000637997	21:09:00
A0	4/30/21	A	N	24.7	900_228000637996	21:14:00
A0	4/30/21	A	F	28	900_228000637995	21:14:00
A0	4/30/21	A	F	28.2	0000_0000000181624059	21:16:00
A0	4/30/21	A	N	27.2	0000_0000000181624060	21:17:00
A0	4/30/21	A	M	25.7	0000_0000000181624061	21:20:00
A0	4/30/21	A	M	27.2	0000_0000000181624062	21:21:00
A0	4/30/21	A	N	27	0000_0000000181624063	21:21:00
A0	4/30/21	A	F	27.5	0000_0000000181624064	21:22:00
A0	4/30/21	A	F	27.9	0000_0000000181624065	21:23:00
A0	4/30/21	A	M	26.3	0000_0000000181624066	21:25:00
A0	4/30/21	A	M	26.5	0000_0000000181624067	21:26:00
A0	4/30/21	A	F	28.5	0000_0000000181624068	21:27:00
A0	4/30/21	A	M	26.8	0000_0000000181624069	21:28:00
A0	4/30/21	A	N	26.5	0000_0000000181624070	21:34:00
A0	4/30/21	A	M	26.7	0000_0000000181624071	21:35:00
A0	4/30/21	A	M	27.3	0000_0000000181624072	21:36:00
A0	4/30/21	A	M	25.8	0000_0000000181624073	21:37:00
A0	4/30/21	A	N	25.5	0000_0000000181624074	21:38:00
A0	4/30/21	A	F	27.3	0000_0000000181624075	21:39:00
A0	4/30/21	A	N	27.5	0000_0000000181624076	21:42:00
A0	4/30/21	A	M	27.4	0000_0000000181624077	21:42:00
A0	4/30/21	A	M	25.6	0000_0000000181624078	21:42:00
A0	4/30/21	A	F	30.5	0000_0000000181624079	21:45:00
A0	4/30/21	A	N	29.1	0000_0000000181624080	21:45:00
A0	4/30/21	A	F	29.4	0000_0000000181624081	21:46:00
A0	4/30/21	A	M	27.4	0000_0000000181624082	21:46:00
A0	4/30/21	A	F	27.5	0000_0000000181624083	21:46:00
A0	4/30/21	A	N	27.2	0000_0000000181624084	21:55:00
A0	4/30/21	A	N	27.2	0000_0000000181624085	21:56:00
A0	4/30/21	A	F	28.7	0000_0000000181624086	21:57:00
A0	4/30/21	A	F	28.6	0000_0000000181624087	21:57:00
A0	4/30/21	A	M	27.9	0000_0000000181624088	21:57:00
A0	4/30/21	A	M	26.7	0000_0000000181624089	22:04:00
A0	4/30/21	A	M	26.3	0000_0000000181624090	22:04:00
A0	4/30/21	A	M	28.9	0000_0000000181624091	22:06:00
A0	4/30/21	A	F	27.4	0000_0000000181624092	22:06:00
A0	4/30/21	A	M	25.5	0000_0000000181624093	22:07:00
A0	4/30/21	B	M	27.9	0000_0000000181624094	22:08:00
A0	4/30/21	A	M	26.4	0000_0000000181624095	22:09:00
A0	4/30/21	A	N	27.2	0000_0000000181624096	22:10:00
A0	4/30/21	A	F	30.1	0000_0000000181624097	22:11:00
A0	4/30/21	A	F	26.8	0000_0000000181624098	22:12:00
A0	4/30/21	A	M	26.2	0000_0000000181624099	22:13:00
A0	4/30/21	A	F	26.7	0000_0000000181624100	22:14:00
A0	4/30/21	A	F	26.5	0000_0000000181624101	22:15:00
